Comment,Designator,Footprint,LCSC,Quantity
5002,TP7,KEYSTONE_5002,,1
LM337_TO220,U5,TO-220-3_Vertical,,1
5002,TP3,KEYSTONE_5002,,1
5002,TP1,KEYSTONE_5002,,1
575-8,J2,CONN_575-8_KEY,,1
5002,TP9,KEYSTONE_5002,,1
0.1u,C8,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
NMOS,Q8,TO-251-3_Vertical,,1
R,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
80,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
150,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
132134,J4,AMPHENOL_132134,,1
51u,L1,CTX50-1-52-R,,1
0.1u,C20,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
132134,J7,AMPHENOL_132134,,1
240,R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1u,C7,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
C,C3,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
120,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
0.1u,C18,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
5002,TP8,KEYSTONE_5002,,1
1u,C15,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
5,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1.8k,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
575-8,J1,CONN_575-8_KEY,,1
1u,C14,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
5002,TP6,KEYSTONE_5002,,1
5002,TP4,KEYSTONE_5002,,1
240,R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
360,R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
R,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
LM318N,U9,N08E,,1
240,R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
5,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
PMOS,Q7,TO-251-3_Vertical,,1
720,R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
5002,TP5,KEYSTONE_5002,,1
1u,C17,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
132134,J5,AMPHENOL_132134,,1
5002,TP11,KEYSTONE_5002,,1
0.1u,C6,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
R,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
50,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
120,R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
2k,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
8,R5,TO-220-2_Vertical,,1
SE555P,U4,DIP-8_W7.62mm,,1
LM337_TO220,U6,TO-220-3_Vertical,,1
C,C2,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
0.56u,C1,C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3,,1
LM317_TO-220,U7,TO-220-3_Vertical,,1
5002,TP2,KEYSTONE_5002,,1
NMOS,Q6,TO-251-3_Vertical,,1
1u,C9,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
60,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
~,U1,DIP-8_W7.62mm,,1
1n,C4,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
PMOS,Q5,TO-251-3_Vertical,,1
LM317_TO-220,U8,TO-220-3_Vertical,,1
1n,C5,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
R,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1u,C19,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
120,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
132134,J6,AMPHENOL_132134,,1
1u,C21,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
5002,TP10,KEYSTONE_5002,,1
575-8,J3,CONN_575-8_KEY,,1
LM318N,U10,N08E,,1
1u,C16,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
2N3904,Q9,TO-92_Inline,,1
2N3906,Q10,TO-92_Inline,,1
250,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
8,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
470pF,C10,C_Radial_D6.3mm_H5.0mm_P2.50mm,,1
330,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
BSS84,Q15,SOT-23,,1
BSS84,Q14,SOT-23,,1
BSS138,Q13,SOT-23,,1
BSS138,Q11,SOT-23,,1
