Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.56u,C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3,146.0,-123.25,90.0,top
C10,470pF,C_Radial_D6.3mm_H5.0mm_P2.50mm,73.0,-123.75,90.0,top
C14,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,101.0,-153.3,90.0,top
C15,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,78.54,-152.75,90.0,top
C16,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,133.92,-152.75,-90.0,top
C17,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,112.92,-153.8,-90.0,top
C18,0.1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,131.615208,-84.757372,-90.0,top
C19,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,109.135021,-85.308676,-90.0,top
C2,C,C_Radial_D6.3mm_H5.0mm_P2.50mm,109.44,-96.5,0.0,top
C20,0.1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,93.0,-85.75,-90.0,top
C21,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,71.0,-86.25,-90.0,top
C3,C,C_Radial_D6.3mm_H5.0mm_P2.50mm,136.0,-110.25,-90.0,top
C4,1n,C_Radial_D6.3mm_H5.0mm_P2.50mm,86.0,-98.0,90.0,top
C5,1n,C_Radial_D6.3mm_H5.0mm_P2.50mm,76.5,-110.0,0.0,top
C6,0.1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,141.75,-81.0,0.0,top
C7,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,147.25,-93.0,0.0,top
C8,0.1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,142.75,-157.0,0.0,top
C9,1u,C_Radial_D6.3mm_H5.0mm_P2.50mm,147.75,-147.0,0.0,top
J1,575-8,CONN_575-8_KEY,153.0,-82.0,0.0,top
J2,575-8,CONN_575-8_KEY,153.0,-157.0,0.0,top
J3,575-8,CONN_575-8_KEY,67.1566,-157.63,0.0,top
J4,132134,AMPHENOL_132134,97.96,-101.46,0.0,top
J5,132134,AMPHENOL_132134,67.19,-111.19,0.0,top
J6,132134,AMPHENOL_132134,149.0,-136.0,0.0,top
J7,132134,AMPHENOL_132134,152.46,-110.46,0.0,top
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,67.65,-104.156473,180.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,101.35,-111.0,0.0,top
JP3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,90.35,-146.5,180.0,top
JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,120.0,-148.0,0.0,top
JP5,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,121.35,-92.0,0.0,top
JP7,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,83.35,-118.0,0.0,top
JP8,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,128.5,-96.0,180.0,top
L1,51u,CTX50-1-52-R,136.2535,-126.0,0.0,top
Q10,2N3906,TO-92_Inline,72.73,-132.5,180.0,top
Q11,BSS138,SOT-23,100.0,-135.0,0.0,top
Q13,BSS138,SOT-23,105.4375,-137.55,0.0,top
Q14,BSS84,SOT-23,90.0,-129.4375,90.0,top
Q15,BSS84,SOT-23,105.0625,-117.58,0.0,top
Q5,PMOS,TO-251-3_Vertical,111.82,-123.0,90.0,top
Q6,NMOS,TO-251-3_Vertical,114.18,-140.0,-90.0,top
Q7,PMOS,TO-251-3_Vertical,124.0,-123.0,90.0,top
Q8,NMOS,TO-251-3_Vertical,130.18,-140.0,-90.0,top
Q9,2N3904,TO-92_Inline,83.23,-130.0,0.0,top
R1,60,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,94.5,-130.0,-90.0,top
R10,2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,84.92,-93.0,180.0,top
R11,1.8k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,69.92,-93.0,180.0,top
R12,5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,156.0,-144.0,90.0,top
R13,5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,156.0,-93.92,-90.0,top
R14,330,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,64.5,-127.0,-90.0,top
R15,250,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,85.5,-123.5,0.0,top
R16,8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,86.0,-136.5,0.0,top
R2,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,105.0,-127.5,-90.0,top
R20,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,95.54,-160.5,0.0,top
R21,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,81.62,-160.5,180.0,top
R22,360,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,129.92,-160.5,0.0,top
R23,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,114.84,-160.55,180.0,top
R24,240,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,112.08,-79.0,180.0,top
R25,240,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,126.08,-79.0,180.0,top
R26,720,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,72.92,-79.0,180.0,top
R27,240,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,88.0,-79.0,180.0,top
R3,80,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,99.5,-125.08,-90.0,top
R4,50,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,119.0,-132.0,0.0,top
R5,8,TO-220-2_Vertical,154.82,-124.46,90.0,top
R6,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,118.19,-101.0,90.0,top
R7,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,125.0,-114.0,180.0,top
R8,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,136.0,-100.08,90.0,top
R9,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,144.0,-108.0,-90.0,top
TP1,5002,KEYSTONE_5002,63.229863,-104.0,0.0,top
